ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ
Door,1,1,1,0,XM_PIDIV2,0,-14.55,1,5.1
SoundBlock,1,1,1,0,0,0,-11.5,1.5,6.8
Goal,6,1,8,0,0,0,12,0,-11
Wall,5,2,1,0,XM_PIDIV2,0,9,-1,-9.5
Wall,5,2,1,0,0,0,12,0,-7
SoundBlock,1,1,1,0,0,0,2.3,1.5,-11.5
SoundBlock,1,1,1,0,0,0,5.7,1.5,-4
SoundBlock,1,1,1,0,0,0,3.2,1.5,5
Enemy2,1,1,1,0,0,0,0,1.5,1
Enemy1,1,1,1,0,0,0,-1,1.5,-7.350096
Wall,31,2,1,0,0,0,0,2,-15
Floor,25,1,31,0,0,0,-3,0.5,0
Wall,5,2,6,0,0,0,12,2,-4.5
Enemy2,1,1,1,0,0,0,-3.5,1.5,-11.5
Wall,8,2,7,0,0,0,-10.5,2,11
Wall,31,4,1,0,XM_PIDIV2,0,15,1,0
SoundBlock,1,1,1,0,0,0,-3.5,1.5,-3
Wall,31,2,1,0,XM_PIDIV2,0,-15,2,0
Wall,10,2,16,0,0,0,9.5,2,6.5
SoundBlock,1,1,1,0,0,0,-3,1.5,10
Enemy1,1,1,1,0,0,0,-2,1.5,5
Wall,31,2,1,0,0,0,0,2,15
Wall,8,2,16,0,0,0,-10.5,2,-6.5
<<<<<<< HEAD
Player,1,1,1,0,XM_PIDIV2,0,-13,1.5,5
=======
Player,1,1,1,0,[XM_PIDIV2,0,-13,1.5,5
>>>>>>> Yotomo
